soție	soț	N	nevastă,soție	soț,partener	Femeie măritată consideratăîn raport cu bărbatul ei	(La pl.) Cele două persoane de sex opus unite prin căsătorie.	3.42	4.22
adult	bebeluș	N	adult,om_matur	bebeluș,nou_născut,prunc	(persoană) aflată în perioada de la 17-18 ani până la 50 de ani.	copil în primele luni de viață	2.19	0.25
cap	unghie	N	cap	unghie	capăt rotunjit al unui os, care pătrunde în articulație	Lamă cărnoasă care crește pe partea de deasupra a ultimei falange a degetelor de la mâini și de la picioare, la om.	2.68	0.57
buștean	cherestea	N	buștean	cherestea,lemnărie	partea trunchiului unui copac rămasă în pământ după tăiere	Material lemnos, cu cel puțin două fețe plane și paralele, rezultat din tăierea buștenilor la gater și întrebuințat de obicei în construcție.	2.0	3.05
lingură	ceașcă	N	lingură	ceașcă	Conținutul unei linguri.	Cantitate care intră într-o ceașcă	3.0	1
corp	nerv	N	corp,trunchi,tors	nerv,inervație	parte superioară a corpului uman, fără cap și fără membre	distribuție a nervilor într-un organ sau țesut	2.0	1.73
bărbat	soț	N	bărbat,gospodar,soț	bărbat,gospodar,soț	bărbat căsătorit considerat în raport cu soția lui	bărbat căsătorit considerat în raport cu soția lui	4.0	5.42
os	gât	N	os	gât,grumaz	Element de bază al scheletului vertebratelor, caracterizat prin structura lui dură, solidă și rezistentă, de culoare albă	Parte a corpului (la om și la unele animale) care unește capul cu trunchiul.	2.0	1.28
frustrare	mânie	N	frustrare,frustrație	enervare,furie,mânie	sentimentul de supărare (iritare) datorat piedicilor sau criticilor	Tensiune nervoasă caracterizată prin neliniște, nerăbdare, agitație, iritare, înfuriere.	3.0	5.22
sarcină	slujbă	N	sarcină,obligație,proiect	lucru,muncă,treabă,slujbă	Orice acțiune care este încercată sau dusă la îndeplinire în cadrul unei munci.	Activitate (în special fizică) întreprinsă în schimbul unei remunerări;	3.0	4.47
club	societate	N	club,corporație,societate	club,corporație,societate	Asociație menită să creeze membrilor săi condiții favorabile pentru desfășurarea unei anumite activități	Asociație menită să creeze membrilor săi condiții favorabile pentru desfășurarea unei anumite activități	4.0	3.3
reflexie	imagine	N	reflexie,imagine	reflexie,imagine	imaginea a ceva reflectat într-o oglindă (sau alt material de reflexie)	imaginea a ceva reflectat într-o oglindă (sau alt material de reflexie)	4.0	4.4
prinț	rege	N	prinț	cap_încoronat,monarh,rege,suveran	bărbat aparținând familiei regale, de obicei fiul regelui	Suveranul unui regat, persoană care deține puterea supremăîntr-un regat	2.19	3.2
zăpadă	vreme	N	ninsoare,zăpadă	vreme	precipitație atmosferică solidă sub formă de fulgi albi, alcătuiți din cristale de apă înghețată	Stare a atmosferei la un moment dat și într-un anumit loc, determinată prin totalitatea elementelor meteorologice.	3.0	1.73
oameni	petrecere	N	oameni	petrecere	grup de persoane	Reuniune, întâlnire între prieteni, rude etc. (de obicei însoțită de masă mare, de muzică etc.), organizată cu prilejul unei sărbători sau sărbătoriri ori pentru distracție	2.19	1.53
băiat	frate	N	băiat	frate	Copil de sex bărbătesc	persoană considerată în raport cu altă persoană născută din aceiași părinți sau numai din același tată ori din aceeași mamă	2.42	2.48
rădăcină	iarbă	N	rădăcină	iarbă	Parte a unei plante superioare prin care aceasta se fixează de sol și își absoarbe substanțele hrănitoare	Nume generic dat plantelor erbacee, anuale sau perene, cu părțile aeriene verzi, subțiri și mlădioase, folosite pentru hrana animalelor	1.3	1.45
sprânceană	ochi	N	sprânceană	ochi	Fire de păr scurte și dese crescute în linie arcuită deasupra orbitei ochiului (pentru a împiedica scurgerea transpirației în ochi).	Fiecare dintre cele două organe ale vederii, de formă globulară, sticloase, așezate simetric în partea din față a capului omului și a unor animale	1.54	1.98
bani	perlă	N	bani,finanțe,fonduri	mărgăritar,perlă	Totalitatea mijloacelor bănești	Boabă rotundă și tare de culoare albă-strălucitoare cu reflexe sidefii, care se formează în corpul unor scoici și care se întrebuințează ca podoabă de preț	1.19	0.85
bani	diamant	N	bani,finanțe,fonduri	diamant,adamant	Totalitatea mijloacelor bănești	Varietate cristalină de carbon cu duritate foarte mare, folosită ca piatră prețioasă sau la diverse unelte de șlefuit, de tăiat și zgâriat.	1.68	1.17
vehicul	autobuz	N	vehicul	autobuz,autocar,omnibuz	Mijloc de transport pe o cale de comunicație terestră, subterană, aeriană, cosmică, pe (sau sub) apă.	Automobil cu caroseria închisă sau parțial decapotabilă, folosit la transportul în comun al unui număr mare de persoane.	2.42	4.57
taxi	autobuz	N	taxi	autobuz,autocar,omnibuz	mașină pentru transportul public individual	Automobil cu caroseria închisă sau parțial decapotabilă, folosit la transportul în comun al unui număr mare de persoane.	1.68	2.08
casă	grajd	N	casă	grajd	construcție destinată pentru a servi de locuință uneia sau mai multor familii	loc în  care stau animalele (în special caii)	2.68	0.78
deget	palmă	N	deget	palmă	Veche unitate de măsură pentru lungimi, având aproximativ lățimea unui deget.	Veche unitate de măsură pentru lungime (de aproximativ 25-28 cm), egală cu distanța dintre extremitatea degetului mare și a celui mic bine întinse în lături.	3.0	2.27
mașină	pod	N	mașină	pod	dispozitiv mecanic sau electric care transmite sau transformă energia	Construcție de lemn, de piatră, de beton, de metal etc. care leagă între ele malurile unei ape sau marginile unei depresiuni de pământ, susținând o cale de comunicație terestră (șosea sau cale ferată) și asigurând continuitatea căii peste un obstacol natural sau artificial.	2.19	0.35
efort	dificultate	N	efort,strădanie,străduință	dificultate,necaz	Stăruință îndelungată, osteneală pentru a executa bine ceva, pentru a atinge un scop; efort susținut în muncă sau la învățătură; sârguință, străduință, strădanie, râvnă, zel.;	neajuns, neplăcere, impas	3.42	5.03
fapt	intuiție	N	fapt	intuiție	un fragment de informație despre circumstanțele prezente sau despre evenimentele care au avut loc	Descoperire bruscă, neașteptată, a unui adevăr, a unei soluții etc	2.19	1.67
cancer	boală	N	cancer	afecțiune,boală,maladie	Termen general care denumește diverse forme de tumori maligne ce se caracterizează printr-o înmulțire excesivă a țesuturilor unor organe	Modificare organică sau funcțională a echilibrului normal al organismului; proces patologic care afectează organismul	2.68	4.25
cuvânt	ziar	N	vorbire,cuvânt	ziar	limbaj vorbit sau scris	ziarul ca obiect fizic " Doamna grasă l-a pocnit peste chelie cu un ziar "	1.68	1.95
compozitor	scriitor	N	compozitor	scriitor	Persoană care compune lucrări muzicale	Persoană care poate scrie și a scris ceva.	2.0	4
actor	cântăreț	N	actor	cântăreț,solist	Artist care interpretează roluri în piese de teatru, în filme etc.;	Persoană care cântă cu vocea	2.68	1.85
adăpost	colibă	N	adăpost	colibă	Loc ferit; construcție făcută ca să apere de intemperii, de primejdii etc.; (prin generalizare) orice loc unde se adăpostește cineva.;	Casă mică sărăcăcioasă	3.42	3.75
baie	bucătărie	N	baie	bucătărie	Clădire cu instalații speciale de îmbăiere; (prin restringere) încăpere special amenajată pentru îmbăiere.;	Cameră (sau clădire) în care se gătește mâncarea.	3.0	1.03
cabană	colibă	N	cabană,camping	colibă	Casă (la munte) construită de obicei, din lemn, care servește pentru adăpostirea turiștilor și a vânătorilor	Casă mică sărăcăcioasă	2.42	4.85
ușă	bucătărie	N	ușă	bucătărie	cameră în care se intră printr-o ușă; exemplu : biroul lui este a treia ușă pe stânga	Cameră (sau clădire) în care se gătește mâncarea.	3.0	1.2
valoare	credință	N	valoare	încredințare,certitudine,convingere,credință,siguranță	Însușire a unor lucruri, fapte idei, fenomene de a corespunde necesităților sociale și idealurilor generate de acestea	orice conținut cognitiv considerat ca adevărat;	2.42	3.43
înțelepciune	inteligență	N	înțelepciune,rațiune	inteligență,pricepere,minte	Cumpătare, prudență, moderație determinată de experiență	Capacitatea de a înțelege ușor și bine, de a sesiza ceea ce este esențial, de a rezolva situații sau probleme noi pe baza experienței acumulate anterior	2.68	6.03
ignoranță	inteligență	N	ignoranță,neștiință	inteligență,pricepere,minte	Lipsă de cultură sau de informație	Capacitatea de a înțelege ușor și bine, de a sesiza ceea ce este esențial, de a rezolva situații sau probleme noi pe baza experienței acumulate anterior	2.42	0.42
fericire	noroc	N	binefacere,fericire	noroc,șansă,baftă	Stare de bine	stare rezultată din șanse favorabile	3.42	2.52
idee	plan	N	gând,intenție,idee,plan	gând,intenție,idee,plan	Dorință de a face, de a întreprinde ceva	Dorință de a face, de a întreprinde ceva	4.0	5.32
stare	emoție	N	dispoziție,stare_de_spirit,stare,situație	emoție	starea emoțională a unei persoane	Reacție afectivă de intensitate mijlocie și de durată relativ scurtă, însoțită adesea de modificări în activitățile organismului, oglindind atitudinea individului față de realitate	3.42	5.38
fericire	pace	N	fericire	pace,răgaz,tihnă,calm	Stare de mulțumire sufletească intensă și deplină	stare de calm	3.0	3.77
disperare	nenorocire	N	disperare,desperare	nenorocire,nefericire	sentimentul că totul este rău și nimic nu se va transforma în bine	sentiment intens de tristețe	2.68	3.87
logică	aritmetică	N	logică	aritmetică	principiile care ordonează modul de a gândi într-un anumit domeniu sau într-o situație	Parte a matematicii care se ocupă cu proprietățile elementare ale numerelor	0.83	2.73
negare	confesiune	N	negare	confesiune,destăinuire,dezvăluire,mărturisire	propoziție negativa; propoziție care este un refuz, o contestare a unei alte propoziții	Faptul de a (se) spovedi; mărturisire	2.19	0.35
discuție	critică	N	discuție	critică	Schimb de păreri, de vederi pe o anumită temă	evaluare scrisă a unei opere literare	2.0	1.52
agresiune	ostilitate	N	agresiune,atac,ostilitate	agresiune,atac,ostilitate	acțiune violentă care este ostilă și de obicei neprovocată	acțiune violentă care este ostilă și de obicei neprovocată	4.0	4.3
isterie	confuzie	N	isterie	confuzie	teamă excesivă sau necontrolabilă	Dezordine rezultată din lipsa de predictabilitate	2.0	2.13
chimie	teorie	N	chimie	ipoteză,teorie,posibilitate	știință care studiază compoziția, structura și proprietățile substanțelor, transformările lor prin regruparea atomilor componenți, precum și combinațiile noi ale substanțelor rezultate în urma acestor transformări	presupunere cu caracter provizoriu, formulată pe baza datelor experimentale existente la un moment dat sau pe baza intuiției, impresiei	1.68	1.85
proces	verdict	N	cauză,judecată,proces	verdict	acțiune judecătorească	Răspuns dat de jurați în legătură cu vinovăția sau nevinovăția unui acuzat și pe baza căruia se pronunță sentința	2.19	2.67
confort	siguranță	N	comoditate,confort,liniște,tihnă	securitate,siguranță	starea de a fi relaxat și a nu simți nici o durere	Faptul de a fi la adăpost de orice pericol	3.0	5.18
încredere	sine	N	încredere	sine,eu	încredere deplină într-o persoană sau într-un plan	persoana considerată ca individualitateș ceea ce constituie individualitatea, personalitatea cuiva	1.54	2.2
vedere	percepție	N	vedere,viziune	percepție,simțire	Privire generală, aspect general asupra unui peisaj, a unei scene sau a unui obiect văzute din depărtare	proces psihic de reflecatere a lumii obiective prin organele de simț;	3.0	5.15
eră	deceniu	N	epocă,eră,ev	deceniu	Perioadă în dezvoltarea istoriei sau a unui domeniu de activitate, care se deosebește de celelalte prin anumite evenimente caracteristice, însemnate	Perioadă de zece ani	3.0	2.08
biografie	ficțiune	N	biografie,viață	ficțiune	Expunere (scrisă și comentată) a vieții unei persoane.	Reprezentare produsă de imaginația cuiva și care nu corespunde realității sau nu are corespondent în realitate	1.54	0.32
discuție	ceartă	N	ceartă,discuție,controversă,dispută	ceartă,discuție,controversă,dispută	act de vorbire în contradictoriu	act de vorbire în contradictoriu	4.0	2.38
cod	simbol	N	cod	simbol	set de reguli, principii sau legi (de obicei scrise)	Semn, obiect, imagine etc. care reprezintă indirect (în mod convențional sau în virtutea unei corespondențe analogice) un obiect, o ființă, o noțiune, o idee, o însușire, un sentiment etc.;	2.42	4.43
pericol	boală	N	pericol,primejdie	boală,pasiune	Fapt care poate produce un rău asupra cuiva. " Boala devenise un real pericol în rândul copiilor "	(Fam.) Capriciu, pasiune pentru ceva (sau cineva)	2.19	2.42
accident	catastrofă	N	accident	calamitate,catastrofă,dezastru,tragedie,flagel,grozăvie,năpastă,nenorocire,potop,prăpăd,sinistru,urgie	Eveniment fortuit, imprevizibil, care întrerupe mersul normal al lucrurilor, provocând avarii, răniri, mutilări sau chiar moartea.	Nenorocire mare, dezastru care lovește o colectivitate	2.68	5
călătorie	excursie	N	călătorie,drum,voiaj,deplasare,excursie	călătorie,drum,voiaj,deplasare,excursie	Drum pe care îl face cineva într-un loc (mai depărtat).	Drum pe care îl face cineva într-un loc (mai depărtat).	4.0	8.02
activitate	mișcare	N	activitate	circulație,mișcare	Starea de a fi activ	stare în care acțiunea este posibilă	3.42	6.28
bârfă	știri	N	calomnie,bârfă	știri,buletin_de_știri	cuvinte mincinoase ce strică reputația cuiva	Program dedicat prezentării ultimelor știri	1.83	3.58
tată	dumnezeu	N	taică,tată	divinitate,dumnezeu,idol,zeitate,zeu	Bărbat care are copii	Orice ființă supranaturală care este venerată, controlează o parte a lumii sau este o personificare a unei forțe	1.54	3.83
acțiune	curs	N	acțiune,faptă	curs	Acțiune săvârșită, act îndeplinit de cineva	Desfășurare, mers, direcție a unor evenimente.	3.42	1.95
febră	boală	N	febră	boală	(figurativ) Emoție, neliniște, încordare (înaintea sau la timpul producerii unui eveniment).	stare de furie persistentă	2.0	3.12
aviație	zbor	N	aviație	pilotare,zbor	diviziune a armatei care cuprinde forța militară aeriană	manevrarea unui aparat de zbor pentru a oferi transport	1.83	5.63
joc	acțiune	N	joc	acțiune,operațiune	Concurs cu reguli care determină un învingător	Activitate de mari proporții, bine planificată, și care implică acțiunea concertată a mai multor persoane. " Operațiunea Furtună în Deșert "	3.0	3.48
moleculă	aer	N	moleculă	aer	Cea mai mică parte dintr-o substanță care mai păstrează compoziția procentuală și toate proprietățile chimice ale acelei substanțe	Amestec de gaze care alcătuiesc straturile inferioare ale atmosferei și care este absolut necesar vietăților aerobe.	2.0	1.73
casă	stat	N	casă,familie	stat	Totalitatea celor care locuiesc împreună, (formând o familie	Ansamblu de organizații prin care este reglementată viața indivizilor dintr-o comunitate nitate politică	2.19	0.53
cuvânt	literatură	N	vorbire,cuvânt	compoziție,compoziție_literară,compunere,literatură	limbaj vorbit sau scris	scriere ca rezultat al imaginației sau creativității	2.19	2.73
ziar	informație	N	ziar	informație	ziarul ca obiect fizic " Doamna grasă l-a pocnit peste chelie cu un ziar "	mesaj recepționat și înțeles	1.68	3.55
comunicare	televizor	N	comunicare	televizor	Ceea ce este comunicat de către sau între oameni	Aparat care recepționează imagini transmise prin televiziune.	1.3	2.73
văr	unchi	N	văr,verișor	unchi	copilul mătușii sau unchiului	bărbat considerat în raport cu copiii fraților și surorilor sale, în raport cu copiii fraților și surorilor soției sale sau în raport cu copiii verilor și verișoarelor sale	2.68	1.32
autor	cititor	N	autor	lector,cititor	Persoană care creează o operă literară, artistică, științifică sau publicistică.	Persoană care citește în mod profesionist	2.68	1.42
tip	partener	N	tip,fel,soi	partener	categorie de oameni	Fiecare dintre persoanele care formează împreună un cuplu, un grup, o societate, o asociație etc., considerată în raport cu celelalte persoane de cuplu, grup etc	3.0	2.73
suprafață	colț	N	suprafață	colț	Partea exterioară sau de deasupra a unui corp; față	exteriorul solid al unei clădiri	2.68	0.92
baladă	cântec	N	baladă	cântec	Bucată muzicală cu caracter narativ	Compoziție muzicală scurtă însoțită de versuri.	3.42	5.1
perete	decorațiune	N	perete	înfloritură,decorație,decorațiune,ornament,podoabă	Parte a unui obiect, a unui sistem tehnic etc. care se aseamănă cu un perete, mărginind, izolând, protejând	Detaliu sau obiect adăugat la un ansamblu pentru a-l înfrumuseța	2.68	1.52
cuvânt	pagină	N	cuvânt,termen,vorbă	față,pagină	Unitate de bază a vocabularului, care reprezintă asocierea unui sens (sau a unui complex sonor;	Fiecare dintre cele două fețe ale unei foi de hârtie dintr-o carte, dintr-un caiet, ziar, registru etc.	1.68	1.88
politician	președinte	N	politician	președinte	Om politic.	persoană care prezidează o adunare, o dezbatere, o comisie etc.	3.0	3.62
președinte	primar	N	președinte	primar	persoană care prezidează o adunare, o dezbatere, o comisie etc.	președinte al comitetului executiv al consiliului popular, municipal, orășenesc sau comunal	2.68	2.1
carte	eseu	N	carte	eseu	Diviziune mai mare decât un capitol a unei scrieri de proporții mari.	Studiu de proporții restrânse asupra unor teme filozofice, literare sau științifice, compus cu mijloace originale, fără pretenția de a epuiza problema	2.68	2.27
bărbat	războinic	N	bărbat	luptător,războinic	Persoană adultă de sex masculin.	Persoană care (se) luptă; combatant, militant.;	3.0	2.37
articol	revistă	N	articol	revistă	Expunere scrisă (de proporții mai reduse) cu caracter publicistic, pe o temă politică, economică, științifică etc.	obiectul fizic reprezentat de o publicație periodică	2.42	3.18
mulțime	paradă	N	serie,mulțime	paradă	lucruri asemănătoare așezate în ordine sau la întâmplare unul după altul	Succesiune de persoane sau lucruri	3.0	3.27
culoar	hol	N	coridor,culoar,gang	hol	loc de trecere îngust (și lung), care leagă încăperile unei clădiri și din care se intră în camerele aceluiași apartament sau ale aceluiași etaj	încăpere de trecere într-o locuință	3.42	8.12
șold	buză	N	șold	buză	Parte a corpului omenesc situatăîntre mijloc și coapsă	Fiecare dintre cele două părți cărnoase care mărginesc gura și acoperă dinții.	2.68	0.42
carte	articol	N	carte	articol	Diviziune mai mare decât un capitol a unei scrieri de proporții mari.	Diviziune într-un document oficial, marcată de obicei printr-un număr de ordine sau printr-o literă.	3.0	1.92
cameră	celulă	N	cameră	celulă	Nume dat unor încăperi cu destinație specială.	(Fam.) Expresie : La răcoare; la închisoare	3.0	3.12
cutie	cabină	N	cutie	telecabină,cabină	Obiect de lemn, de metal, de carton etc. în formă de cub, de paralelipiped etc., gol în interior, în care se păstrează sau care protejează diverse lucruri.;	Una dintre cabinele unei instalații de urcare pe fir	2.42	1.42
membru	picior	N	mădular,membru	membru_inferior,picior	Fiecare dintre părțile exterioare, articulate ale trupului omului sau animalului, care au rol important în îndeplinirea unor funcții de relație	Fiecare dintre cele două membre inferioare ale corpului omenesc, de la șold până la vârful degetelor, și fiecare dintre membrele celorlalte viețuitoare, care servesc la susținerea corpului și la deplasarea în spațiu.	3.42	5.47
ficat	plămân	N	ficat	bojoc,plămân,pulmon	Glandă-anexă a tubului digestiv, situată în partea dreaptă a abdomenului, sub diafragmă, formată din patru lobi și din vezicula biliară, care îndeplinește diferite funcții fiziologice importante în organism	Fiecare dintre cele două organe principale, cu aspect spongios, înconjurate de pleură, situate simetric în cavitatea toracică, cu ajutorul cărora se face respirația la om și la vertebratele superioare; pulmon, bojoc	2.68	1.48
clasă	hol	N	clasă,clasă_socială	hol,vestibul	indivizii care au același statut social și economic	o cameră mare într-un castel sau conac	1.42	0.47
munte	terasă	N	munte	terasă	Regiune, zonă muntoasă.	Formă de relief cu aspect de treaptă, provenită din ridicarea scoarței pământului sau ca rezultat al eroziunii apelor în lungul unei ape curgătoare	3.0	0.63
mașină	lift	N	mașină	ascensor,lift	dispozitiv mecanic sau electric care transmite sau transformă energia	Cabină sau platformă cu ajutorul căreia se transportă, pe linie verticală, mărfuri sau persoane (în clădirile cu mai multe etaje).	2.68	0.22
pat	canapea	N	pat	canapea	Mobilă de lemn sau de metal, prevăzută de obicei cu somieră sau cu saltea	Mobilă (cu spătar și cu brațe, uneori capitonată) pe care se șade și pe care se poate dormi.	2.42	3.2
rinichi	organ	N	rinichi	organ	Fiecare dintre cele două organe interne ale omului și ale animalelor superioare, care secretează și excretează urina și care sunt situate în regiunea lombară, în afara cavității peritoneale, de fiecare parte a coloanei vertebrale	Parte a unui organism animal sau vegetal care îndeplinește anumite funcții	2.68	4.5
măr	sos	N	măr	sos	Fruct al mărului, de formă rotundă-turtită și de diferite culori	Preparat culinar lichid sau vâscos (de obicei condimentat) cu care se pregătesc sau cu care se servesc unele mâncăruri	1.83	0.22
mașină	furtun	N	mașină	furtun	dispozitiv mecanic sau electric care transmite sau transformă energia	Tub flexibil confecționat din material textil, cauciuc, material plastic etc., care servește la transportul, pe distanță mică, al gazelor sau al lichidelor	2.0	0.5
tutun	țigară	N	tutun,tabac	țigară,țigaretă	(Colectiv) Frunze de tutun, care, supuse unui tratament special, se fumează, se prizează sau se mestecă.	Sul mic făcut dintr-o hârtie foarte fină umplută cu tutun tăiat mărunt, care se aprinde la un capăt, iar din celălalt capăt (vârât între buze) se trage fumul în piept	3.0	6.13
student	profesor	N	student	dascăl,profesor	Persoană care urmează cursurile unei universități sau ale unui institut de învățământ superior.	(prin generalizare) Persoană care îndrumă, educă, învață pe cineva.	1.83	1.95
bebeluș	fiică	N	bebeluș,nou_născut,prunc	fiică	copil în primele luni de viață	Persoană de sex feminin, considerată în raport cu părinții săi; fată	2.68	2.2
pipă	trabuc	N	lulea,pipă	țigară_de_foi,havană,trabuc	Obiect format dintr-o parte mai groasă și scobită, în care se pune tutunul, și dintr-un tub (curbat) prin care se trage fumul	țigară de foi fabricată din tutun de calitate superioară, provenit din Cuba.	1.09	4.43
lapte	suc	N	lapte	suc,băutură_răcoritoare	Lichid alb-gălbui cu gust dulceag, foarte hrănitor, secretat de glandele mamare ale femelelor mamiferelor (care constituie hrana exclusivă a sugarului și a puiului de animal).	băutură nonalcoolică, de obicei carbogazoasă	3.0	0.72
cutie	trabuc	N	cutie	țigară_de_foi,havană,trabuc	Obiect de lemn, de metal, de carton etc. în formă de cub, de paralelipiped etc., gol în interior, în care se păstrează sau care protejează diverse lucruri.;	țigară de foi fabricată din tutun de calitate superioară, provenit din Cuba.	1.42	0.97
apartament	hotel	N	apartament	hotel	Locuință (într-o casă mai mare) compusă din mai multe camere (și dependințe)	Clădire mare cu multe camere mobilate, care se închiriază de obicei cu ziua (călătorilor)	2.42	1.63
ceașcă	con	N	ceașcă	con	Vas mic de porțelan, de faianță etc., cu gura largă, rotundă (și cu toartă), servind la băut.	Orice obiect în formă de con	2.42	0.47
cal	bou	N	cal	bou	Masculul speciei Equus caballus	Taur castrat, cu talia mai mare decât a vacii, folosit ca animal de tracțiune și mai ales pentru carne.	3.0	0.92
gâtlej	nas	N	înghițitoare,beregată,gâtiță,gâtlej	nas,organ_olfactiv	partea interioară a gâtului (1) cuprinzând faringele cu esofagul și laringele cu traheea	Parte proeminentă a feței, situată între obraji, frunte și gură, servind ca organ al respirației și al mirosului.	1.68	1
os	cot	N	os	cot	Element de bază al scheletului vertebratelor, caracterizat prin structura lui dură, solidă și rezistentă, de culoare albă	articulație între antebraț și partea superioară a mâinii	1.68	2.05
șuncă	fasole	N	șuncă	fasole,Phaseolus_vulgaris	Produs alimentar obținut din pulpă de porc preparată prin sărare și afumare sau fierbere cu mijloace tehnice speciale; șuncă	Plantă erbacee anuală din familia leguminoaselor, cu frunzele compuse din trei foliole mari, păroase, cu flori albe, albe-verzui, roz sau roșii, cultivată pentru păstăile și pentru semințele sale, folosite în alimentație .	1.63	0.72
ceașcă	borcan	N	ceașcă	borcan	Vas mic de porțelan, de faianță etc., cu gura largă, rotundă (și cu toartă), servind la băut.	Vas (cilindric) de sticlă, folosit pentru păstrarea conservelor, a preparatelor farmaceutice etc	2.68	0.85
dovadă	fapt	N	dovadă,probă,semn	fapt	Fapt sau lucru care arată, demonstrează ceva	un fragment de informație despre circumstanțele prezente sau despre evenimentele care au avut loc	2.68	5.18
programare	angajament	N	planificare,plănuire,programare	angajament	acțiunea de a formula programul desfășurării unei activități	Contract între două părți, care implică angajarea financiară a lor	2.0	2.98
cuvânt	indiciu	N	cuvânt,făgăduială,făgăduință,legământ,promisiune,vorbă	expresie,manifestare,indiciu	Angajament prin care cineva se obligă să facă ceva.	mesaj nonverbal	2.68	1.92
autor	creator	N	autor,creator	autor,creator	Persoană care creează, care fundează ceva.	Persoană care creează, care fundează ceva.	4.0	7.42
atom	carbon	N	atom	c,carbon,număr_atomic_6	cea mai mică parte dintr-un element chimic care mai păstrează însușirile chimice ale elementului respectiv	Element chimic, metaloid foarte răspândit în natură, component de bază al tuturor substanțelor organice, care se găsește în cărbuni, în petrol, în gaze etc., iar în stare elementară în diamant, în grafit și în cărbunele negru.	2.68	2.2
arhiepiscop	episcop	N	arhiepiscop	episcop	Episcop superior celorlalți episcopi	persoană care are grad înalt în ierarhia bisericească creștină, imediat inferior mitropolitului sau arhiepiscopului	3.42	4.22
literă	paragraf	N	literă,grafem,simbol_grafic	alineat,paragraf	semn scris al unui sunet sau fonem	Pasaj al unei lucrări despărțit de restul textului printr-un aliniat nou (și printr-un semn grafic special)	1.83	1.63
pagină	paragraf	N	site_web,site,website,site_internet,pagină,pagină_internet	alineat,paragraf	suită de informații, stocate pe un server și disponibile oricui prin intermediul internetului	Pasaj al unei lucrări despărțit de restul textului printr-un aliniat nou (și printr-un semn grafic special)	1.3	2.33
clopotniță	capelă	N	clopotniță	capelă,paraclis	Turn de biserică sau construcție în formă de turn (situată lângă biserică), în care sunt instalate clopotele	Capelă construită alături de o biserică, într-un cimitir, în interiorul unei clădiri etc.	2.19	2.2
mușchi	os	N	mușchi	os	Organ al corpului la toate vertebratele și la majoritatea nevertebratelor, format dintr-un țesut fibros și cărnos care, datorită proprietăților lui fundamentale, contractibilitatea și elasticitatea, pune în mișcare diferite organe și părți ale corpului.;	Element de bază al scheletului vertebratelor, caracterizat prin structura lui dură, solidă și rezistentă, de culoare albă	1.83	1.07
mușchi	limbă	N	mușchi	limbă	Organ al corpului la toate vertebratele și la majoritatea nevertebratelor, format dintr-un țesut fibros și cărnos care, datorită proprietăților lui fundamentale, contractibilitatea și elasticitatea, pune în mișcare diferite organe și părți ale corpului.;	Organ musculos mobil care se află în gură, servind la perceperea gustului, la mestecarea și la înghițirea alimentelor, la om fiind și organul principal de vorbire	2.68	3.97
băiat	soldat	N	băiat	soldat	Copil de sex bărbătesc	Militar care își execută stagiul	2.19	2.3
burtă	abdomen	N	abdomen,burtă,pântece,vintre,foale	abdomen,burtă,pântece,vintre,foale	parte a corpului, între torace și bazin, în care se găsesc stomacul, ficatul, pancreasul, splina, rinichii și intestinele	parte a corpului, între torace și bazin, în care se găsesc stomacul, ficatul, pancreasul, splina, rinichii și intestinele	4.0	6.2
tip	fată	N	tip,fel,soi	copilă,fată	categorie de oameni	Fată tânără (după ce a trecut de vârsta copilăriei)	2.68	0.38
pat	scaun	N	pat	scaun	Mobilă de lemn sau de metal, prevăzută de obicei cu somieră sau cu saltea	Mobilă de lemn, de metal etc., cu sau fără spetează, pe care poate ședea o singură persoană	2.68	0.92
armă	cuțit	N	armă	cuțit	Obiect, unealtă, aparat, mașină care servește în lupta împotriva inamicului, la vânat, în unele probe sportive etc.	Instrument de tăiat, format dintr-o lamă metalică și dintr-un mâner	2.19	4.12
sticlă	recipient	N	butelie,sticlă	recipient,vas	Vas înalt (de formă cilindrică), cu gât îngust, făcut din sticlă, care servește la păstrarea lichidelor	Obiect destinat pentru păstrarea și transportarea unui lichid	3.42	4.87
găină	curcan	N	găină	curcan,Meleagris_gallopavo	Specie de pasăre domestică, crescută pentru carne și ouă.	Pasăre domestică mare, originară din America, cu coada lată care se desfășoară în formă de evantai.	3.0	1.6
carne	pâine	N	carne	pâine,pită	Bucată din țesutul muscular al animalelor tăiate, întrebuințată ca aliment.	Aliment de bază al omului, preparat dintr-un aluat de făină (de grâu, de secară etc.) și ingrediente, afânat prin fermentația drojdiei, frământat cu apă și copt în cuptor.	2.68	0.63
braț	os	N	braț,mână	os	Segment cuprins între cot și umăr al membrului superior al corpului omenesc; partea de la umăr până la încheietura mâinii	Element de bază al scheletului vertebratelor, caracterizat prin structura lui dură, solidă și rezistentă, de culoare albă	1.68	1.42
măr	lămâie	N	măr	lămâie	Fruct al mărului, de formă rotundă-turtită și de diferite culori	Fructul lămâiului, de formă sferică alungită, cu coaja galbenă, aromată și cu miezul acru, bogat în vitamine.	2.68	1.03
agonie	supărare	N	agonie	supărare,tulburare	sentiment puternic de suferință fizică sau psihică	(figurativ) Neliniște sufletească	1.68	4.12
